drug_id,drug_name,brand_name,active_ingredient,gene_symbol,clinpgx_id,ncbi_id,boxed_warning,indications
203,hydrocortisone acetate,Cortifoam,HYDROCORTISONE ACETATE,,,,None,INDICATIONS AND USAGE Cortifoam ® is indicated as adjunctive therapy in the topical treatment of ulcerative proctitis of the distal portion of the rectum in patients who cannot retain hydrocortisone or other corticosteroid enemas.
204,metoprolol,METOPROLOL TARTRATE,METOPROLOL TARTRATE,,,,None,"1 INDICATIONS AND USAGE Metoprolol tartrate tablet is a beta-adrenergic blocker indicated for the treatment of: • Hypertension, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and non-fatal cardiovascular events, primarily strokes and myocardial infarctions. ( 1.1 ) • Angina Pectoris. ( 1.2 ) • Myocardial Infarction, to reduce the risk of cardiovascular mortality when used in conjunction with intravenous metoprolol therapy in patients with definite or suspected acute m"
205,vancomycin hydrochloride,Vancomycin Hydrochloride,VANCOMYCIN HYDROCHLORIDE,,,,None,"INDICATIONS AND USAGE Vancomycin Hydrochloride for Injection, USP is indicated for the treatment of serious or severe infections caused by susceptible strains of methicillin-resistant (β-lactam-resistant) staphylococci. It is indicated for penicillin-allergic patients, for patients who cannot receive or who have failed to respond to other drugs, including the penicillins or cephalosporins, and for infections caused by vancomycin-susceptible organisms that are resistant to other antimicrobial dru"
207,azacitidine for,AZACITIDINE,AZACITIDINE,,,,None,"1 INDICATIONS AND USAGE Azacitidine for injection is a nucleoside metabolic inhibitor indicated for the treatment of: Adult patients with the following FAB myelodysplastic syndrome (MDS) subtypes: Refractory anemia (RA) or refractory anemia with ringed sideroblasts (RARS) (if accompanied by neutropenia or thrombocytopenia or requiring transfusions), refractory anemia with excess blasts (RAEB), refractory anemia with excess blasts in transformation (RAEB-T), and chronic myelomonocytic leukemia (C"
208,lorazepam,Lorazepam,LORAZEPAM,,,,"WARNING: RISKS FROM CONCOMITANT USE WITH OPIOIDS; ABUSE, MISUSE, AND ADDICTION; and DEPENDENCE AND WITHDRAWAL REACTIONS • Concomitant use of benzodiazepines and opioids may result in profound sedation, respiratory depression, coma, and death. Reserve concomitant prescribing of these drugs for patients for whom alternative treatment options are inadequate. Limit dosages and durations to the minimum required. Follow patients for signs and symptoms of respiratory depression and sedation (see WARNINGS and PRECAUTIONS ). • The use of benzodiazepines, including lorazepam, exposes users to risks of abuse, misuse, and addiction, which can lead to overdose or death. Abuse and misuse of benzodiazepines commonly involve concomitant use of other medications, alcohol, and/or illicit substances, which is associated with an increased frequency of serious adverse outcomes. Before prescribing lorazepam and throughout treatment, assess each patient’s risk for abuse, misuse, and addiction (see WARNINGS ). • The continued use of benzodiazepines, including lorazepam, may lead to clinically significant physical dependence. The risks of dependence and withdrawal increase with longer treatment duration and higher daily dose. Abrupt discontinuation or rapid dosage reduction of lorazepam after continued use may precipitate acute withdrawal reactions, which can be life-threatening. To reduce the risk of withdrawal reactions, use a gradual taper to discontinue lorazepam or reduce the dosage ( DOSAGE AND ADMINISTRATION and WARNINGS ).","INDICATIONS AND USAGE Lorazepam tablets are indicated for the management of anxiety disorders or for the short-term relief of the symptoms of anxiety or anxiety associated with depressive symptoms. Anxiety or tension associated with the stress of everyday life usually does not require treatment with an anxiolytic. The effectiveness of lorazepam tablets in long-term use, that is, more than 4 months, has not been assessed by systematic clinical studies. The physician should periodically reassess t"
210,ranolazine,Ranolazine,RANOLAZINE,,,,None,"1 INDICATIONS AND USAGE Ranolazine extended-release tablet is indicated for the treatment of chronic angina. Ranolazine extended-release tablet may be used with beta-blockers, nitrates, calcium channel blockers, anti-platelet therapy, lipid-lowering therapy, ACE inhibitors, and angiotensin receptor blockers. Ranolazine extended-release tablet is an antianginal indicated for the treatment of chronic angina. ( 1 )"
211,witch hazel,Witch Hazel,WITCH HAZEL,,,,None,Use for relief of minor skin irritations due to: insects bites minor cuts monor scrapes
212,sitagliptin and metformin hydrochloride,ZITUVIMET,SITAGLIPTIN,,,,"WARNING: LACTIC ACIDOSIS WARNING: LACTIC ACIDOSIS See full prescribing information for complete boxed warning . Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. Symptoms included malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Laboratory abnormalities included elevated blood lactate levels, anion gap acidosis, increased lactate/pyruvate ratio, and metformin plasma levels generally >5 mcg/mL. ( 5.1 ) Risk factors include renal impairment, concomitant use of certain drugs, age ≥65 years old, radiological studies with contrast, surgery and other procedures, hypoxic states, excessive alcohol intake, hepatic impairment, mitochondrial diseases. Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high-risk groups are provided in the Full Prescribing Information. ( 5.1 ) If lactic acidosis is suspected, discontinue ZITUVIMET and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended. ( 5.1 ) Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. The onset of metformin-associated lactic acidosis is often subtle, accompanied only by nonspecific symptoms such as malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Metformin-associated lactic acidosis was characterized by elevated blood lactate levels (>5 mmol/Liter), anion gap acidosis (without evidence of ketonuria or ketonemia), an increased lactate/pyruvate ratio, and metformin plasma levels generally >5 mcg/mL [see Warnings and Precautions ( 5.1 )] . Risk factors for metformin-associated lactic acidosis include renal impairment, concomitant use of certain drugs (e.g., carbonic anhydrase inhibitors such as topiramate), age 65 years old or greater, having a radiological study with contrast, surgery and other procedures, hypoxic states (e.g., acute congestive heart failure), excessive alcohol intake, hepatic impairment and mitochondrial diseases [see Warnings and Precautions (5.1)] . Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high risk groups are provided in the full prescribing information [see Dosage and Administration ( 2.2 )>, Contraindications ( 4 ), Warnings and Precautions ( 5.1 ), Drug Interactions ( 7 ), and Use in Specific Populations ( 8.6 , 8.7 )] . If metformin-associated lactic acidosis is suspected, immediately discontinue ZITUVIMET and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended [see Warnings and Precautions ( 5.1 )] .","1 INDICATIONS AND USAGE ZITUVIMET is a combination of sitagliptin, a dipeptidyl peptidase-4 (DPP-4) inhibitor, and metformin hydrochloride (HCl), a biguanide, indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. ( 1 ) Limitations of Use: ZITUVIMET is not recommended in patients with type 1 diabetes mellitus. ( 1 ) ZITUVIMET has not been studied in patients with a history of pancreatitis. ( 1 ) ZITUVIMET is indicated as an adjunct to di"
213,cholestyramine light,CHOLESTYRAMINE LIGHT,CHOLESTYRAMINE,,,,None,"INDICATIONS AND USAGE 1) Cholestyramine for Oral Suspension, USP Light powder is indicated as adjunctive therapy to diet for the reduction of elevated serum cholesterol in patients with primary hypercholesterolemia (elevated low density lipoprotein [LDL] cholesterol) who do not respond adequately to diet. Cholestyramine for Oral Suspension, USP Light powder may be useful to lower LDL cholesterol in patients who also have hypertriglyceridemia, but it is not indicated where hypertriglyceridemia is"
214,sodium chloride,Sodium Chloride,SODIUM CHLORIDE,,,,None,"INDICATIONS AND USAGE This sterile, nonpyrogenic electrolyte solution is indicated for all general irrigation, washing, rinsing and dilution purposes including blood cell washing (when used in conjunction with automated intraoperative blood salvaging equipment)."
215,paroxetine hydrochloride hemihydrate,Paroxetine,PAROXETINE HYDROCHLORIDE HEMIHYDRATE,,,,"WARNING: SUICIDAL THOUGHTS AND BEHAVIORS Antidepressants increased the risk of suicidal thoughts and behaviors in pediatric and young adult patients in short-term studies. Closely monitor all antidepressant-treated patients for clinical worsening, and for emergence of suicidal thoughts and behaviors [see Warnings and Precautions ( 5.1 )] . Paroxetine tablets are not approved for use in pediatric patients [see Use in Specific Populations ( 8.4 )] . WARNING: SUICIDAL THOUGHTS AND BEHAVIORS See full prescribing information for complete boxed warning. Increased risk of suicidal thoughts and behavior in pediatric and young adult patients taking antidepressants. Closely monitor all antidepressant-treated patients for clinical worsening and emergence of suicidal thoughts and behaviors. Paroxetine tablets are not approved for use in pediatric patients. ( 5.1 , 8.4 )",1 INDICATIONS AND USAGE Paroxetine tablets are indicated in adults for the treatment of: Major depressive disorder (MDD) Obsessive compulsive disorder (OCD) Panic disorder (PD) Social anxiety disorder (SAD) Generalized anxiety disorder (GAD) Posttraumatic stress disorder (PTSD) Paroxetine tablets are a selective serotonin reuptake inhibitor (SSRI) indicated in adults for the treatment of ( 1 ): Major Depressive Disorder (MDD) Obsessive Compulsive Disorder (OCD) Panic Disorder (PD) Social Anxiety
219,"dextroamphetamine saccharate, amphetamine aspartate, dextroamphetamine sulfate and amphetamine sulfate","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",DEXTROAMPHETAMINE SACCHARATE,,,,"WARNING: ABUSE, MISUSE, AND ADDICTION DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE TABLETS has a high potential for abuse and misuse, which can lead to the development of a substance use disorder, including addiction. Misuse and abuse of CNS stimulants, including DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE TABLETS, can result in overdose and death (see OVERDOSAGE), and this risk is increased with higher doses or unapproved methods of administration, such as snorting or injection. Before prescribing DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE TABLETS, assess each patient’s risk for abuse, misuse, and addiction. Educate patients and their families about these risks, proper storage of the drug, and proper disposal of any unused drug. Throughout DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE TABLETS treatment, reassess each patient’s risk of abuse, misuse, and addiction and frequently monitor for signs and symptoms of abuse, misuse, and addiction (see WARNINGS and DRUG ABUSE AND DEPENDENCE).","INDICATIONS AND USAGE Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate Tablets (Mixed Salts of a Single Amphetamine Product) are indicated for the treatment of Attention Deficit Hyperactivity Disorder (ADHD) and Narcolepsy. Attention Deficit Hyperactivity Disorder (ADHD) A diagnosis of Attention Deficit Hyperactivity Disorder (ADHD; DSM-IV ® ) implies the presence of hyperactive-impulsive or inattentive symptoms that caused impairment and wer"
221,"alfalfa, cadmium sulphuratum, calcarea carbonica, cuprum metallicum, ferrum metallicum, fucus vesiculosus, hypericum perforatum, kali phosphoricum, magnesia phosphorica, manganum metallicum, mercurius vivus, plumbum metallicum, silicea, symphytum officinale, tarentula hispana, x-ray, ytterbium oxide",EMF Protect and Balance,MEDICAGO SATIVA WHOLE,,,,None,USES: • For the temporary relief of symptoms including: • jet lag • body aches • nervousness • muscle cramps • fatigue These statements are based upon homeopathic principles. They have not been reviewed by the Food and Drug Administration.
223,dimenhydrinate,Motion Sickness Relief,DIMENHYDRINATE,,,,None,Uses for prevention and treatment of these symptoms associated with motion sickness: nausea vomiting dizziness
226,lansoprazole,Lansoprazole,LANSOPRAZOLE,,,,None,1 INDICATIONS AND USAGE Lansoprazole delayed-release capsules are a proton pump inhibitor (PPI) indicated for the: Treatment of active duodenal ulcer in adults ( 1.1 ) Eradication of H. pylori to reduce the risk of duodenal ulcer recurrence in adults ( 1.2 ) Maintenance of healed duodenal ulcers in adults ( 1.3 ) Treatment of active benign gastric ulcer in adults ( 1.4 ) Healing of nonsteroidal anti-inflammatory drugs (NSAID)-associated gastric ulcer in adults ( 1.5 ) Risk reduction of NSAID-ass
227,antacid tablets,Premier Value Chewable Antacid Assorted Fruit,CALCIUM CARBONATE,,,,None,Uses relieves: • heartburn • sour stomach • acid indigestion • upset stomach associated with these symptoms
228,prednisolone acetate,PRED FORTE,PREDNISOLONE ACETATE,,,,None,"INDICATIONS AND USAGE PRED FORTE ® is indicated for the treatment of steroid-responsive inflammation of the palpebral and bulbar conjunctiva, cornea, and anterior segment of the globe."
229,zoledronic acid,Zoledronic acid,ZOLEDRONIC ACID,,,,None,"1 INDICATIONS AND USAGE Zoledronic acid injection is a bisphosphonate indicated for the treatment of: Hypercalcemia of malignancy. (1.1) Patients with multiple myeloma and patients with documented bone metastases from solid tumors, in conjunction with standard antineoplastic therapy. Prostate cancer should have progressed after treatment with at least one hormonal therapy. (1.2) Limitations of Use : The safety and efficacy of zoledronic acid injection has not been established for use in hyperpar"
230,pseudoephedrine hydrochloride,Pseudoephedrine hydrochloride,PSEUDOEPHEDRINE HYDROCHLORIDE,,,,None,"Uses temporarily relieves nasal congestion due to the common cold, hay fever or other upper respiratory allergies temporarily relieves sinus congestion and pressure"
232,"octinoxate, octisalate, zinc oxide",BOTANICAL SOOTHING SPF-30,OCTINOXATE,,,,None,"USE A SOOTHING, CALMING AND HYDRATING MOISTURIZER IN ONE. ALSO HELPS TO REDUCE THE APPEARANCE OF SKIN FLUSHING, REDNESS AND VASCULAR STIMULATION. CONTAINING SPF 30 TO FIGHT THE SIGNES OF AGING. A MUST FOR THOSE SUFFERING WITH SKIN AND SUN SENSITIVITIES."
235,"avobenzone, homosalate, octisalate, octocrylene, and oxybenzone",Equate Beauty Daily Moisturizer SPF-30 Sunscreen,AVOBENZONE,,,,None,Uses helps to prevent sunburn if used as directed with other sun protection measures (see Directions ) decreases the risk of skin cancer and early skin aging caused by the sun
236,tetracycline hydrochloride,Tetracycline Hydrochloride,TETRACYCLINE HYDROCHLORIDE,,,,None,"INDICATIONS AND USAGE To reduce the development of drug-resistant bacteria and maintain the effectiveness of tetracycline hydrochloride and other antibacterial drugs, tetracycline hydrochloride should be used only to treat infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susc"
237,eptifibatide,Eptifibatide,EPTIFIBATIDE,,,,None,1 INDICATIONS AND USAGE Eptifibatide injection is a platelet aggregation inhibitor indicated for: Treatment of acute coronary syndrome (ACS) managed medically or with percutaneous coronary intervention (PCI) (1.1) Treatment of patients undergoing PCI (including intracoronary stenting) (1.2) 1.1 Acute Coronary Syndrome (ACS) Eptifibatide injection is indicated to decrease the rate of a combined endpoint of death or new myocardial infarction (MI) in patients with ACS (unstable angina [UA]/non-ST-e
238,atorvastatin calcium,Atorvastatin calcium,ATORVASTATIN CALCIUM TRIHYDRATE,,,,None,"1 INDICATIONS AND USAGE Atorvastatin calcium tablets are indicated: To reduce the risk of: Myocardial infarction (MI), stroke, revascularization procedures, and angina in adults with multiple risk factors for coronary heart disease (CHD) but without clinically evident CHD MI and stroke in adults with type 2 diabetes mellitus with multiple risk factors for CHD but without clinically evident CHD Non-fatal MI, fatal and non-fatal stroke, revascularization procedures, hospitalization for congestive "
240,cyclobenzaprine hydrochloride,Cyclobenzaprine Hydrochloride,CYCLOBENZAPRINE HYDROCHLORIDE,,,,None,"INDICATIONS AND USAGE Cyclobenzaprine hydrochloride tablets, USP are indicated as an adjunct to rest and physical therapy for relief of muscle spasm associated with acute, painful musculoskeletal conditions. Improvement is manifested by relief of muscle spasm and its associated signs and symptoms, namely, pain, tenderness, limitation of motion, and restriction in activities of daily living. Cyclobenzaprine hydrochloride tablets, USP should be used only for short periods (up to two or three weeks"
241,lisinopril and hydrochlorothiazide tablets,Lisinopril and Hydrochlorothiazide,LISINOPRIL,,,,"WARNING: FETAL TOXICITY When pregnancy is detected, discontinue lisinopril and hydrochlorothiazide tablets as soon as possible. Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. See Warnings, Fetal Toxicity .","INDICATIONS AND USAGE Lisinopril and hydrochlorothiazide tablets are indicated for the treatment of hypertension, to lower blood pressure. Lowering blood pressure lowers the risk of fatal and non-fatal cardiovascular events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes including lisinopril and hydrochlorothiazide. Control of high blood pressure should be part of comprehensiv"
243,doxycycline,DOXYCYCLINE,DOXYCYCLINE,,,,None,"INDICATIONS AND USAGE To reduce the development of drug-resistant bacteria and maintain effectiveness of doxycycline and other antibacterial drugs, doxycycline should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may"
248,lidocaine patch 4%,Re-Lieved Lidocaine Patch,LIDOCAINE,,,,None,Indications & Usage For the temporary relief of pain.
249,"apis mellifica, borax, carduus marianus, cistus canadensis, echinacea (angustifolia), galium aparine, hepar suis, hepar sulphuris calcareum, human growth hormone, hypophysis suis, nitricum acidum, phytolacca decandra, sulphur, thuja occidentalis, thymus suis",Vital Immune Booster,APIS MELLIFERA,,,,None,"INDICATIONS: May help support the body's natural defense mechanisms and may temporarily relieve symptoms such as: • tendency towards colds or flu • intermittent joint pain • weakness and fatigue • occasional sleeplessness** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated."
251,coffea cruda,Coffea Cruda,ARABICA COFFEE BEAN,,,,None,USE: To be used according to standard homeopathic indications.
252,serdexmethylphenidate and dexmethylphenidate,AZSTARYS,SERDEXMETHYLPHENIDATE CHLORIDE,,,,"WARNING: ABUSE, MISUSE, AND ADDICTION AZSTARYS has a high potential for abuse and misuse, which can lead to the development of a substance use disorder, including addiction. Misuse and abuse of CNS stimulants, including AZSTARYS, can result in overdose and death [see Overdosage ( 10 )], and this risk is increased with higher doses or unapproved methods of administration, such as snorting or injection. Before prescribing AZSTARYS, assess each patient’s risk for abuse, misuse, and addiction. Educate patients and their families about these risks, proper storage of the drug, and proper disposal of any unused drug. Throughout AZSTARYS treatment, reassess each patient’s risk of abuse, misuse, and addiction and frequently monitor for signs and symptoms of abuse, misuse, and addiction [see Warnings and Precautions ( 5.1 ) and Drug Abuse and Dependence ( 9.2 )]. WARNING: ABUSE, MISUSE, AND ADDICTION See full prescribing information for complete boxed warning. AZSTARYS has a high potential for abuse and misuse, which can lead to the development of a substance use disorder, including addiction. Misuse and abuse of CNS stimulants, including AZSTARYS, can result in overdose and death ( 5.1 , 9.2 , 10 ): Before prescribing AZSTARYS, assess each patient’s risk for abuse, misuse, and addiction. Educate patients and their families about these risks, proper storage of the drug, and proper disposal of any unused drug. Throughout treatment, reassess each patient’s risk and frequently monitor for signs and symptoms of abuse, misuse, and addiction.","1 INDICATIONS AND USAGE AZSTARYS is indicated for the treatment of Attention Deficit Hyperactivity Disorder (ADHD) in patients 6 years of age and older. Limitations of Use The use of AZSTARYS is not recommended in pediatric patients younger than 6 years of age because they had higher plasma exposure and a higher incidence of adverse reactions (e.g., weight loss) than patients 6 years and older at the same dosage [see Warnings and Precautions ( 5.7 ), Use in Specific Populations ( 8.4 )]. AZSTARY"
253,"cadmium sulfate, graphite, phosphoric acid, silicon dioxide, selenium, thallium, ustilago maydis",Hair-X Hair Loss Relief,CADMIUM SULFATE,,,,None,"Indications & Usage: Turn tube upside down, twist cap to break seal & release pellets. Using clear cap, place 3 pellets to dissolve under your tongue 3 times a day or as needed. Take apart from food or drinks. To preserve purity avoid touching pellets with fingers."
257,amoxicillin and clavulanate potassium,AMOXICILLIN AND CLAVULANATE POTASSIUM,AMOXICILLIN,,,,None,"1 INDICATIONS AND USAGE Amoxicillin and Clavulanate Potassium is indicated for the treatment of infections in adults and pediatric patients, due to susceptible isolates of the designated bacteria in the conditions listed below: Lower Respiratory Tract Infections - caused by beta‑lactamase–producing isolates of Haemophilus influenzae and Moraxella catarrhalis . Acute Bacterial Otitis Media - caused by beta‑lactamase–producing isolates of H. influenzae and M. catarrhalis . Sinusitis - caused by be"
259,trimethobenzamide hydrochloride,Trimethobenzamide Hydrochloride,TRIMETHOBENZAMIDE HYDROCHLORIDE,,,,None,"1 INDICATIONS AND USAGE Trimethobenzamide hydrochloride capsules is indicated in adults for the treatment of postoperative nausea and vomiting and for nausea associated with gastroenteritis. Limitation of Use: Trimethobenzamide hydrochloride capsules is not recommended for use in pediatric patients due to the risk of extrapyramidal signs and symptoms and other serious central nervous system (CNS) effects, and the risk of exacerbation of the underlying disease in pediatric patients with Reye's sy"
262,haloperidol,Haloperidol,HALOPERIDOL,,,,"BOXED WARNING WARNING Increased Mortality in Elderly Patients with Dementia-Related Psychosis Elderly patients with dementia-related psychosis treated with antipsychotic drugs are at an increased risk of death. Analyses of seventeen placebo-controlled trials (modal duration of 10 weeks), largely in patients taking atypical antipsychotic drugs, revealed a risk of death in drug-treated patients of between 1.6 to 1.7 times the risk of death in placebo-treated patients. Over the course of a typical 10-week controlled trial, the rate of death in drug-treated patients was about 4.5%, compared to a rate of about 2.6% in the placebo group. Although the causes of death were varied, most of the deaths appeared to be either cardiovascular (e.g., heart failure, sudden death) or infectious (e.g., pneumonia) in nature. Observational studies suggest that, similar to atypical antipsychotic drugs, treatment with conventional antipsychotic drugs may increase mortality. The extent to which the findings of increased mortality in observational studies may be attributed to the antipsychotic drug as opposed to some characteristic(s) of the patients is not clear. Haloperidol is not approved for the treatment of patients with dementia-related psychosis (see WARNINGS ).","INDICATIONS AND USAGE Haloperidol tablets are indicated for use in the management of manifestations of psychotic disorders. Haloperidol tablets are indicated for the control of tics and vocal utterances of Tourette's Disorder in children and adults. Haloperidol tablets are effective for the treatment of severe behavior problems in children of combative, explosive hyperexcitability (which cannot be accounted for by immediate provocation). Haloperidol tablets are also effective in the short-term t"
263,"menthol, unspecified form",Biofreeze Professional,"MENTHOL, UNSPECIFIED FORM",,,,None,Uses Temporarily relieves minor aches and pains of muscles and joints associated with: simple backache arthritis strains bruises sprains
264,naproxen sodium,Aleve,NAPROXEN SODIUM,,,,None,Uses temporarily relieves minor aches and pains due to: minor pain of arthritis muscular aches backache menstrual cramps headache toothache the common cold temporarily reduces fever
266,glo skin beauty oil-free tinted primer spf 30,glo SKIN BEAUTY Oil-Free Tinted Primer SPF 30,ZINC OXIDE,,,,None,"Uses • helps prevent sunburn • if used as directed with other sun protection measures (see Directions), decreases the risk of skin cancer and early skin aging caused by the sun"
268,naltrexone hydrochloride,NALTREXONE HYDROCHLORIDE,NALTREXONE HYDROCHLORIDE,,,,None,INDICATIONS AND USAGE Naltrexone hydrochloride tablets are indicated in the treatment of alcohol dependence and for the blockade of the effects of exogenously administered opioids. Naltrexone hydrochloride tablets have not been shown to provide any therapeutic benefit except as part of an appropriate plan of management for the addictions.
269,ropinirole hydrochloride,ROPINIROLE HYDROCHLORIDE,ROPINIROLE HYDROCHLORIDE,,,,None,"1 INDICATIONS AND USAGE Ropinirole Tablets are a non-ergoline dopamine agonist indicated for the treatment of Parkinson’s disease (PD) and moderate-to-severe primary Restless Legs Syndrome (RLS). (1.1, 1.2). 1.1 Parkinson's Disease Ropinirole tablets are indicated for the treatment of Parkinson’s disease. 1.2 Restless Legs Syndrome Ropinirole tablets are indicated for the treatment of moderate-to-severe primary Restless Legs Syndrome (RLS)."
271,ketoconazole,Ketoconazole,KETOCONAZOLE,,,,None,"INDICATIONS & USAGE Ketoconazole shampoo, 2% is indicated for the treatment of tinea (pityriasis) versicolor caused by or presumed to be caused by Pityrosporum orbiculare (also known as Malassezia furfur or M. orbiculare ) . Note: Tinea (pityriasis) versicolor may give rise to hyperpigmented or hypopigmented patches on the trunk which may extend to the neck, arms and upper thighs. Treatment of the infection may not immediately result in normalization of pigment to the affected sites. Normalizati"
272,fenofibrate,Fenofibrate,FENOFIBRATE,,,,None,"1 INDICATIONS AND USAGE Fenofibrate tablet USP is a peroxisome proliferator-activated receptor (PPAR) alpha agonist indicated as an adjunct to diet: To reduce elevated LDL-C, Total-C, TG and Apo B, and to increase HDL-C in adult patients with primary hypercholesterolemia or mixed dyslipidemia ( 1.1 ). For treatment of adult patients with severe hypertriglyceridemia ( 1.2 ). Limitations of Use: Fenofibrate was not shown to reduce coronary heart disease morbidity and mortality in patients with typ"
273,gaunfacine,Guanfacine,GUANFACINE HYDROCHLORIDE,,,,None,"INDICATIONS AND USAGE Guanfacine Tablets, USP are indicated in the management of hypertension. Guanfacine hydrochloride may be given alone or in combination with other antihypertensive agents, especially thiazide-type diuretics."
274,guaifenesin,Mucinex,GUAIFENESIN,,,,None,Uses helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive
275,mirvetuximab soravtansine,ELAHERE,MIRVETUXIMAB SORAVTANSINE,,,,"WARNING: OCULAR TOXICITY ELAHERE can cause severe ocular toxicities, including visual impairment, keratopathy, dry eye, photophobia, eye pain, and uveitis [see Warnings and Precautions ( 5.1 ) and Adverse Reactions ( 6.1 )] . Conduct an ophthalmic exam including visual acuity and slit lamp exam prior to initiation of ELAHERE, every other cycle for the first 8 cycles, and as clinically indicated [see Dosage and Administration ( 2.3 )] . Administer prophylactic artificial tears and ophthalmic topical steroids [see Dosage and Administration ( 2.3 ) and Warnings and Precautions ( 5.1 )] . Withhold ELAHERE for ocular toxicities until improvement and resume at the same or reduced dose [see Dosage and Administration ( 2.4 ) and Warnings and Precautions ( 5.1 )] . Discontinue ELAHERE for Grade 4 ocular toxicities [see Dosage and Administration ( 2.4 ) and Warnings and Precautions ( 5.1 )] . WARNING: OCULAR TOXICITY See full prescribing information for complete boxed warning. ELAHERE can cause severe ocular toxicities, including visual impairment, keratopathy, dry eye, photophobia, eye pain, and uveitis. ( 5.1 , 6.1 ) Conduct an ophthalmic exam including visual acuity and slit lamp exam prior to initiation of ELAHERE, every other cycle for the first 8 cycles, and as clinically indicated. ( 2.3 ) Administer prophylactic artificial tears and ophthalmic topical steroids. ( 2.3 , 5.1 ) Withhold ELAHERE for ocular toxicities until improvement and resume at the same or reduced dose. ( 2.4 , 5.1 ) Discontinue ELAHERE for Grade 4 ocular toxicities. ( 2.4 , 5.1 )","1 INDICATIONS AND USAGE ELAHERE ® is indicated for the treatment of adult patients with folate receptor-alpha (FRα) positive, platinum-resistant epithelial ovarian, fallopian tube, or primary peritoneal cancer, who have received one to three prior systemic treatment regimens. Select patients for therapy based on an FDA-approved test [see Dosage and Administration ( 2.1 )]. ELAHERE is a folate receptor alpha (FRα)-directed antibody and microtubule inhibitor conjugate indicated for the treatment o"
276,lactulose,Enulose,LACTULOSE,,,,None,"INDICATIONS AND USAGE For the prevention and treatment of portal-systemic encephalopathy, including the stages of hepatic pre-coma and coma. Controlled studies have shown that lactulose solution therapy reduces the blood ammonia levels by 25 to 50%; this is generally paralleled by an improvement in the patients' mental state and by an improvement in EEG patterns. The clinical response has been observed in about 75% of patients, which is at least as satisfactory as that resulting from neomycin th"
277,ursodiol,Ursodiol,URSODIOL,,,,None,"INDICATIONS AND USAGE 1. Ursodiol is indicated for patients with radiolucent, noncalcified gallbladder stones < 20 mm in greatest diameter in whom elective cholecystectomy would be undertaken except for the presence of increased surgical risk due to systemic disease, advanced age, idiosyncratic reaction to general anesthesia, or for those patients who refuse surgery. Safety of use of ursodiol beyond 24 months is not established. 2. Ursodiol is indicated for the prevention of gallstone formation "
279,erythromycin,erythromycin,ERYTHROMYCIN,,,,None,"INDICATIONS AND USAGE Erythromycin Topical Solution USP, 2% is indicated for the topical treatment of acne vulgaris."
280,"bacitracin zinc, neomycin sulfate , polymyxin b sulfate.",Triple Antibiotic,BACITRACIN ZINC,,,,None,Uses first aid to help prevent infection in minor:● cuts ● scrapes ● burns
